id;t_gnabere;t_espanol;texto_gnabere.;texto_espanol;url_audio;url_imagen;id_usuario;vistas;me_gusta;no_me_gusta;fecha;borrado
290;Ja ;Verbo reflexivo ;;;subidos/audios/prueba.mp3;subidos/imagenes/290_letra_j.png;1;0;0;0;06/02/2020 11:17;0
291; jä;Piedra ;Jä ye bä ngwen. ;Esa piedra es de color blanco. ;subidos/audios/prueba.mp3;subidos/imagenes/291_letra_j.png;1;0;0;0;06/02/2020 11:17;0
292;Jadengä ;Jugar ;Ani Jadengä dere. ;Vamos en la tarde a jugar. ;subidos/audios/prueba.mp3;subidos/imagenes/292_letra_j.png;1;0;0;0;06/02/2020 11:17;0
293;jadabare ;Jugaron ;Kwetre jadagabare tibe. ;Ellos jugaron conmigo. ;subidos/audios/prueba.mp3;subidos/imagenes/293_letra_j.png;1;0;0;0;06/02/2020 11:17;0
294; jagani ;Jugó ;Ni se jadagani kuin. ;El jugo bien.;subidos/audios/prueba.mp3;subidos/imagenes/294_letra_j.png;1;0;0;0;06/02/2020 11:17;0
295;jadagai ;Jugará ;Ni se jadagai nibe. ;El jugara con nosotros. ;subidos/audios/prueba.mp3;subidos/imagenes/295_letra_j.png;1;0;0;0;06/02/2020 11:17;0
296;Jadugue ;Dormir ;Kugwe niguira jadugue. ;Él ya se fue a dormir.;subidos/audios/prueba.mp3;subidos/imagenes/296_letra_j.png;1;0;0;0;06/02/2020 11:17;0
297;  jadugabare;Durmieron ;Kwetre jadugabare ken. ;Ellos durmieron cerca de él. ;subidos/audios/prueba.mp3;subidos/imagenes/297_letra_j.png;1;0;0;0;06/02/2020 11:17;0
298; jadugai ;Dormirán ;Tigwe jadugai derebe. ;Yo me voy a dormir temprano.;subidos/audios/prueba.mp3;subidos/imagenes/298_letra_j.png;1;0;0;0;06/02/2020 11:17;0
299;jadugani ;Dormido ;Nei tuani jadugani. ;Vieron a Nei dormido.  ;subidos/audios/prueba.mp3;subidos/imagenes/299_letra_j.png;1;0;0;0;06/02/2020 11:17;0
300;Jagain ;Competir ;Ani jagain gwa kite. ;Hagamos competencia para pescar.;subidos/audios/prueba.mp3;subidos/imagenes/300_letra_j.png;1;0;0;0;06/02/2020 11:17;0
301;Jamete ;Pelear ;Kwe nämä jamete jädrin. ;Él estaba ayer peleando.;subidos/audios/prueba.mp3;subidos/imagenes/301_letra_j.png;1;0;0;0;06/02/2020 11:17;0
302;Jametai ;Pelearan ;Ni segwe jametai tibe.;Él va a Pelearan conmigo.;subidos/audios/prueba.mp3;subidos/imagenes/302_letra_j.png;1;0;0;0;06/02/2020 11:17;0
303; jametabare ;Pelearon ;Mädä krobu ye jametabare.;Esos dos caballos pelearon. ;subidos/audios/prueba.mp3;subidos/imagenes/303_letra_j.png;1;0;0;0;06/02/2020 11:17;0
304;Jägue ;Jalar ;Ti näin ngi jägue. ;Voy a ir a jalar leña. ;subidos/audios/prueba.mp3;subidos/imagenes/304_letra_j.png;1;0;0;0;06/02/2020 11:17;0
305;Jagwe ;Venga;Jagwe tägue nete. ;Venga siéntese aquí.;subidos/audios/prueba.mp3;subidos/imagenes/305_letra_j.png;1;0;0;0;06/02/2020 11:17;0
306;Jagwre;Venga;Jagwe tägue nete. ;Venga siéntese aquí.;subidos/audios/prueba.mp3;subidos/imagenes/306_letra_j.png;1;0;0;0;06/02/2020 11:17;0
307;Jän;si;Jän, ju ye tigwe. ;Sí, es mi casa.;subidos/audios/prueba.mp3;subidos/imagenes/307_letra_j.png;1;0;0;0;06/02/2020 11:17;0
308;Jän ;Cama ;jän mägwe ye nuäre. ;Su cama es bonita. ;subidos/audios/prueba.mp3;subidos/imagenes/308_letra_j.png;1;0;0;0;06/02/2020 11:17;0
309;Jadai;Vendrá;Kwe jadai ti toen. ;Ella me vendría a verme. ;subidos/audios/prueba.mp3;subidos/imagenes/309_letra_j.png;1;0;0;0;06/02/2020 11:17;0
310; jadani ;Vino, llego, paso  ;Kwra jadani ken  ta.;El tigre pasó cerca de él. ;subidos/audios/prueba.mp3;subidos/imagenes/310_letra_j.png;1;0;0;0;06/02/2020 11:17;0
311;jadabare ;Vinieron, llegaron, pasaron  ;Tiro jadabare kabre. ;Pasaron varios chanco monte. ;subidos/audios/prueba.mp3;subidos/imagenes/311_letra_j.png;1;0;0;0;06/02/2020 11:17;0
312;Jäguegä ;Arranque ;Ö ye jäguegä. ;Arranque esa yuca.;subidos/audios/prueba.mp3;subidos/imagenes/312_letra_j.png;1;0;0;0;06/02/2020 11:17;0
313;Jamägue;Amistoso ;Kwe jamägue ni jokrä ben. ;Él es amistoso con todas las personas. ;subidos/audios/prueba.mp3;subidos/imagenes/313_letra_j.png;1;0;0;0;06/02/2020 11:17;0
314;Jäme ;Tranquilo ;Nibi se jäme krubäte. ;Esa vaca es muy tranquila. ;subidos/audios/prueba.mp3;subidos/imagenes/314_letra_j.png;1;0;0;0;06/02/2020 11:17;0
315;Jädrin ;Ayer ;Jädrin kwi  ye kwetaba.  ;Ayer se comieron esa gallina. ;subidos/audios/prueba.mp3;subidos/imagenes/315_letra_j.png;1;0;0;0;06/02/2020 11:17;0
316;Järän ;Zancudo ;Järän ye kämigue. ;Mate ese zancudo. ;subidos/audios/prueba.mp3;subidos/imagenes/316_letra_j.png;1;0;0;0;06/02/2020 11:17;0
317;Jängunu ;Continuar, seguir   ;Kwetre nigani jängunu. ;Ellos continuaron caminando. ;subidos/audios/prueba.mp3;subidos/imagenes/317_letra_j.png;1;0;0;0;06/02/2020 11:17;0
318;Jali;Nombre de pescado;Gwa ye kä jali. ;Ese pescado se llama jali. ;subidos/audios/prueba.mp3;subidos/imagenes/318_letra_j.png;1;0;0;0;06/02/2020 11:17;0
319;Jatödigue ;Estudiar ;Ani jatödigue jokrä. ;Vamos a estudiar todos. ;subidos/audios/prueba.mp3;subidos/imagenes/319_letra_j.png;1;0;0;0;06/02/2020 11:17;0
320;Jabe;Juntos, acompañados;Ki meri ngwena jabe. ;Trajo a la mujer de acompañante. ;subidos/audios/prueba.mp3;subidos/imagenes/320_letra_j.png;1;0;0;0;06/02/2020 11:17;0
321;Jagaire;Vergonzoso ;Ti jagaire krubäte. ;Yo soy muy  vergonzosos. ;subidos/audios/prueba.mp3;subidos/imagenes/321_letra_j.png;1;0;0;0;06/02/2020 11:17;0
322;Jade;Orilla del rio;Chi ye migue jade. ;Ponga al bebe a la orilla del rio.;subidos/audios/prueba.mp3;subidos/imagenes/322_letra_j.png;1;0;0;0;06/02/2020 11:17;0
323;Jamaga;Jamaca ;Jamaga ye kaingä. ;Alce esa jamaca. ;subidos/audios/prueba.mp3;subidos/imagenes/323_letra_j.png;1;0;0;0;06/02/2020 11:17;0
324;Järä;Barranco;Järä ye toen diore mende.;Se observa el barranco desde muy lejos. ;subidos/audios/prueba.mp3;subidos/imagenes/324_letra_j.png;1;0;0;0;06/02/2020 11:17;0
325;Jäde;Dentro de la piedra;Kebe ye tä jäde. ;El camarón está en la piedra.;subidos/audios/prueba.mp3;subidos/imagenes/325_letra_j.png;1;0;0;0;06/02/2020 11:17;0
326;Jene;Diferente;Kwe blitani jene matare. ;El hablo diferente hoy. ;subidos/audios/prueba.mp3;subidos/imagenes/326_letra_j.png;1;0;0;0;06/02/2020 11:17;0
